year,cumulative,revenue,rev_infl,title,lead_actor,director_name
2002,1.384334996,52970014,73328244.13,Big Fat Liar,Frankie Muniz,Shawn Levy
2015,1.035412488,52882018,54754701.83,Sinister 2,Laila Haley,Ciarán Foy
2010,1.142551557,52826594,60357107.21,From Paris with Love,Kasia Smutniak,Pierre Morel
2014,1.052209187,52597999,55344097.78,3 Days to Kill,Connie Nielsen,McG
2014,1.052209187,52501541,55242603.79,Wild,Michiel Huisman,Jean-Marc Vallée
2015,1.035412488,52425855,54282384.96,The Boy Next Door,Ryan Guzman,Rob Cohen
2014,1.052209187,52424533,55161575.26,Dolphin Tale 2,Morgan Freeman,Charles Martin Smith
2002,1.384334996,52322400,72431729.41,Dragonfly,Joe Morton,Tom Shadyac
2005,1.29773008,52304001,67876475.42,Æon Flux,Charlize Theron,Karyn Kusama
2012,1.089714997,52302796,56995141.19,Silent Hill: Revelation 3D,Radha Mitchell,Michael J. Bassett
1986,2.278768981,52293982,119165904,The Color of Money,Tom Cruise,Martin Scorsese
1986,2.278768981,52287414,119150937.1,Stand by Me,Marshall Bell,Rob Reiner
2003,1.362721798,52277485,71239668.33,Radio,Alfre Woodard,Michael Tollin
2002,1.384334996,52223306,72294550.12,One Hour Photo,Robin Williams,Mark Romanek
2016,1.034185663,52099090,53880131.94,The Finest Hours,Michael Raymond-James,Craig Gillespie
2005,1.29773008,52034889,67527240.68,Elizabethtown,Orlando Bloom,Cameron Crowe
1984,2.461039993,51973029,127907702.9,Amadeus,Jeffrey Jones,Milos Forman
1987,2.236322512,51881013,116022677.3,Jaws: The Revenge,Judith Barsi,Joseph Sargent
2012,1.089714997,51854875,56507034.96,The Odd Life of Timothy Green,Jennifer Garner,Peter Hedges
2002,1.384334996,51842679,71767634.84,Blue Crush,Faizon Love,John Stockwell
2002,1.384334996,51801187,71710196.01,Enough,Bill Cobbs,Michael Apted
1996,1.608572132,51702483,83167173.29,Maximum Risk,Natasha Henstridge,Ringo Lam
2015,1.035412488,51680201,53510325.5,Hot Pursuit,Jim Gaffigan,Anne Fletcher
2009,1.138489257,51416464,58537091.92,Daybreakers,Jay Laga'aia,Michael Spierig
1997,1.562764318,51376861,80289925.16,Mortal Kombat: Annihilation,Brian Thompson,John R. Leonetti
2013,1.067622291,51164106,54623940.07,Delivery Man,Jack Reynor,Ken Scott
2010,1.142551557,51148651,58439970.83,The Next Three Days,Olivia Wilde,Paul Haggis
2003,1.362721798,51142659,69693216.2,Hollywood Homicide,Harrison Ford,Ron Shelton
2011,1.124115573,51070807,57409489.48,The Mechanic,Jason Statham,Simon West
2005,1.29773008,51053787,66254035.1,Hoodwinked!,Anne Hathaway,Cory Edwards
2004,1.332473386,50907422,67832784.98,Team America: World Police,Jeremy Shada,Trey Parker
2008,1.182197002,50907234,60182379.41,Doubt,Philip Seymour Hoffman,John Patrick Shanley
2008,1.182197002,50877145,60146808.28,The Tale of Despereaux,Emma Watson,Sam Fell
2005,1.29773008,50871113,66016973.56,Unleashed,Morgan Freeman,Louis Leterrier
1992,1.799813376,50752337,91344734.98,The Mighty Ducks,Lane Smith,Stephen Herek
1977,4.307270464,50750000,218593976.1,A Bridge Too Far,Ryan O'Neal,Richard Attenborough
1998,1.527066244,50671850,77379271.68,Bride of Chucky,Alexis Arquette,Ronny Yu
2008,1.182197002,50650079,59878371.54,Meet Dave,Marc Blucas,Brian Robbins
2014,1.052209187,50549107,53188234.8,Jack Ryan: Shadow Recruit,Colm Feore,Kenneth Branagh
2005,1.29773008,50451307,65472178.69,Fever Pitch,Jimmy Fallon,Bobby Farrelly
2012,1.089714997,50365377,54883906.65,Red Tails,David Oyelowo,Anthony Hemingway
2015,1.035412488,50363790,52147297.11,Concussion,Will Smith,Peter Landesman
2001,1.423458672,50315140,71621522.37,K-PAX,Kevin Spacey,Iain Softley
1981,2.974451411,50244700,149450418.8,Escape from New York,Donald Pleasence,John Carpenter
1997,1.562764318,50159144,78386920.48,Breakdown,Kathleen Quinlan,Jonathan Mostow
1962,8.200264845,50100000,410833268.7,The Longest Day,Richard Burton,Ken Annakin
1997,1.562764318,50068310,78244968.35,Absolute Power,Clint Eastwood,Clint Eastwood
1999,1.503724247,50041732,75248965.78,Stigmata,Nia Long,Rupert Wainwright
2008,1.182197002,50007546,59118770.95,The Women,Jada Pinkett Smith,Diane English
1978,4.044321463,50000000,202216073.1,The Deer Hunter,Robert De Niro,Michael Cimino
2010,1.142551557,49830607,56934037.6,The Switch,Caroline Dhavernas,Josh Gordon
1995,1.653699331,49800000,82354226.68,Leaving Las Vegas,Nicolas Cage,Mike Figgis
1989,2.072746811,49797148,103216879.7,Major League,Corbin Bernsen,David S. Ward
2010,1.142551557,49779728,56875905.72,She's Out of My League,Mike Vogel,Jim Field Smith
2004,1.332473386,49718611,66248725.96,Raising Helen,Amber Valletta,Garry Marshall
1996,1.608572132,49627779,79829862.26,The Island of Dr. Moreau,Marlon Brando,John Frankenheimer
2008,1.182197002,49554002,58582592.59,Australia,Essie Davis,Baz Luhrmann
2006,1.255146149,49469904,62091959.49,Notes on a Scandal,Phil Davis,Richard Eyre
2006,1.255146149,49111202,61641736.06,The Black Dahlia,Scarlett Johansson,Brian De Palma
2005,1.29773008,49084830,63698860.38,Capote,Philip Seymour Hoffman,Bennett Miller
2007,1.21592121,49050886,59642012.68,Death at a Funeral,Peter Dinklage,Frank Oz
2014,1.052209187,49002684,51561074.31,About Last Night,Joe Lo Truglio,Steve Pink
1994,1.696818575,49000000,83144110.18,On Deadly Ground,Mike Starr,Steven Seagal
2016,1.034185663,48902953,50574732.88,Florence Foster Jenkins,Meryl Streep,Stephen Frears
2000,1.47152684,48814909,71832448.78,Men of Honor,Robert De Niro,George Tillman Jr.
1982,2.695843644,48795021,131543747.2,Conan the Barbarian,William Smith,John Milius
2010,1.142551557,48668907,55606735.46,How Do You Know,Shelley Conn,James L. Brooks
2012,1.089714997,48585416,52944256.45,The Avengers,Chris Hemsworth,Joss Whedon
1990,1.977302366,48572000,96041530.53,Tremors,Reba McEntire,Ron Underwood
2006,1.255146149,48548426,60935369.93,Date Movie,Alyson Hannigan,Aaron Seltzer
2010,1.142551557,48531470,55449706.6,Little White Lies,François Cluzet,Guillaume Canet
1999,1.503724247,48451803,72858150.99,Magnolia,Patton Oswalt,Paul Thomas Anderson
2009,1.138489257,48428063,55134829.48,9,Martin Landau,Shane Acker
2010,1.142551557,48190704,55060363.88,Charlie St. Cloud,Augustus Prew,Burr Steers
1992,1.799813376,48169908,86696844.73,Malcolm X,Denzel Washington,Spike Lee
1997,1.562764318,48169156,75277038.24,G.I. Jane,Viggo Mortensen,Ridley Scott
2012,1.089714997,48126384,52444042.4,End of Watch,Jake Gyllenhaal,David Ayer
2013,1.067622291,48065672,51315982.86,21 & Over,Justin Chon,Jon Lucas
1994,1.696818575,48063435,81554929.29,The Shadow,Jonathan Winters,Russell Mulcahy
2006,1.255146149,48027970,60282121.59,The Last King of Scotland,David Oyelowo,Kevin Macdonald
2009,1.138489257,47801389,54421367.86,Hachi: A Dog's Tale,Cary-Hiroyuki Tagawa,Lasse Hallström
2010,1.142551557,47664559,54459216.09,Scott Pilgrim vs. the World,Anna Kendrick,Edgar Wright
1974,5.520711336,47542841,262470301.3,The Godfather: Part II,Robert De Niro,Francis Ford Coppola
2009,1.138489257,47536959,54120317.15,Precious,Mo'Nique,Lee Daniels
1999,1.503724247,47434430,71328302.55,Man on the Moon,Matt Price,Milos Forman
2000,1.47152684,47383689,69726370.13,Almost Famous,Philip Seymour Hoffman,Cameron Crowe
2013,1.067622291,47351251,50553251.08,Her,Scarlett Johansson,Spike Jonze
2008,1.182197002,47301471,55919657.2,CJ7,Jiao Xu,Stephen Chow
2013,1.067622291,47241945,50436553.56,Texas Chainsaw 3D,Gunnar Hansen,John Luessenhop
2006,1.255146149,47231070,59281895.62,Deck the Halls,Matthew Broderick,John Whitesell
2005,1.29773008,47175038,61220465.85,The Wedding Date,Jack Davenport,Clare Kilner
2000,1.47152684,47126295,69347607.95,High Fidelity,Drake Bell,Stephen Frears
2011,1.124115573,47088990,52933466.98,Soul Surfer,Dennis Quaid,Sean McNamara
2012,1.089714997,47042000,51262372.89,Looper,Joseph Gordon-Levitt,Rian Johnson
1998,1.527066244,46905889,71628399.76,The Object of My Affection,Liam Aiken,Nicholas Hytner
2005,1.29773008,46770602,60695617.09,Land of the Dead,Tony Nappo,George A. Romero
1998,1.527066244,46683377,71288609.19,Practical Magic,Goran Visnjic,Griffin Dunne
2004,1.332473386,46546197,62021568.73,Torque,Dane Cook,Joseph Kahn
2009,1.138489257,46471023,52906760.46,Fantastic Mr. Fox,Bill Murray,Wes Anderson
2005,1.29773008,46442528,60269865.59,Get Rich or Die Tryin',50 Cent,Jim Sheridan
2006,1.255146149,46243000,58041723.37,An Inconvenient Truth,Billy West,Davis Guggenheim
2012,1.089714997,46221189,50367922.83,Man on a Ledge,Robert Clohessy,Asger Leth
2013,1.067622291,46216641,49341916.15,Parker,Jason Statham,Taylor Hackford
1980,3.37746584,46201432,156043758.3,The Fog,Jamie Lee Curtis,John Carpenter
1998,1.527066244,46189568,70534530.14,The Big Lebowski,Philip Seymour Hoffman,Joel Coen
2016,1.034185663,46152411,47730161.78,Eddie the Eagle,Hugh Jackman,Dexter Fletcher
2004,1.332473386,46118097,61451136.87,Napoleon Dynamite,Jon Heder,Jared Hess
2013,1.067622291,46089287,49205950.18,The World's End,Michael Smiley,Edgar Wright
2016,1.034185663,46069568,47644486.74,Risen,Peter Firth,Kevin Reynolds
2013,1.067622291,46000000,49110625.39,Yeh Jawaani Hai Deewani,Ranbir Kapoor,Ayan Mukerji
1997,1.562764318,45916769,71757088.21,The Rainmaker,Matt Damon,Francis Ford Coppola
1989,2.072746811,45892212,95122936.09,Black Rain,Stephen Root,Ridley Scott
2010,1.142551557,45636368,52141903.3,The Debt,Tom Wilkinson,John Madden
2000,1.47152684,45554533,67034717.98,The Tigger Movie,Kath Soucie,Jun Falkenstein
2002,1.384334996,45479110,62958323.57,Queen of the Damned,Aaliyah,Michael Rymer
2014,1.052209187,45300000,47665076.19,Earth to Echo,Teo Halm,Dave Green
2010,1.142551557,45236543,51685082.63,The Spy Next Door,Madeline Carroll,Brian Levant
2001,1.423458672,44909486,63926797.31,Monster's Ball,Heath Ledger,Marc Forster
2013,1.067622291,44907260,47943991.81,Grudge Match,Robert De Niro,Peter Segal
1997,1.562764318,44862187,70109025.09,Cop Land,Robert De Niro,James Mangold
1984,2.461039993,44806783,110271284.9,Red Dawn,Lea Thompson,John Milius
1987,2.236322512,44793222,100172090.7,A Nightmare on Elm Street 3: Dream Warriors,John Saxon,Chuck Russell
1969,7.047041207,44785053,315602113.9,Midnight Cowboy,Brenda Vaccaro,John Schlesinger
1988,2.15726806,44726644,96487360.54,Young Guns,Jack Palance,Christopher Cain
2008,1.182197002,44703995,52848928.86,The Wrestler,Mark Margolis,Darren Aronofsky
1998,1.527066244,44547681,68027259.92,The Negotiator,Kevin Spacey,F. Gary Gray
2001,1.423458672,44460850,63288182.5,Recess: School's Out,Diedrich Bader,Chuck Sheetz
2005,1.29773008,44434439,57663908.09,Into the Blue,Paul Walker,John Stockwell
2008,1.182197002,44352417,52433294.4,The Sisterhood of the Traveling Pants 2,America Ferrera,Sanaa Hamri
2003,1.362721798,44350926,60437973.6,A Man Apart,Vin Diesel,F. Gary Gray
2014,1.052209187,44349000,46664425.25,Boyhood,Ellar Coltrane,Richard Linklater
2012,1.089714997,44287131,48260350.83,House at the End of the Street,Jennifer Lawrence,Mark Tonderai
1988,2.15726806,44196684,95344094.76,Child's Play,Catherine Hicks,Tom Holland
2009,1.138489257,44091067,50197206.13,Astro Boy,Nicolas Cage,David Bowers
2013,1.067622291,44030246,47007672.11,Oculus,James Lafferty,Mike Flanagan
1980,3.37746584,44017374,148667177,The Shining,Scatman Crothers,Stanley Kubrick
2007,1.21592121,44000000,53500533.26,The Orphanage,Geraldine Chaplin,J.A. Bayona
2013,1.067622291,44000000,46975380.81,The Internship,Josh Gad,Shawn Levy
1987,2.236322512,43984230,98362923.72,The Last Emperor,Cary-Hiroyuki Tagawa,Bernardo Bertolucci
2015,1.035412488,43967255,45524244.89,Max,Jay Hernandez,Boaz Yakin
2003,1.362721798,43935763,59872221.93,Timeline,Paul Walker,Richard Donner
2002,1.384334996,43928932,60812357.92,The Transporter,Jason Statham,Louis Leterrier
2014,1.052209187,43884652,46175834.02,Still Alice,Kristen Stewart,Richard Glatzer
1987,2.236322512,43848069,98058423.81,Wall Street,Hal Holbrook,Oliver Stone
1961,8.288067061,43656822,361830668.4,West Side Story,Rita Moreno,Jerome Robbins
2006,1.255146149,43545364,54655795.93,We Are Marshall,Matthew McConaughey,McG
2015,1.035412488,43528634,45070091.23,The DUFF,Bella Thorne,Ari Sandel
2008,1.182197002,43493123,51417439.61,Harold & Kumar Escape from Guantanamo Bay,Danneel Ackles,Jon Hurwitz
2009,1.138489257,43318349,49317474.98,Brothers,Natalie Portman,Jim Sheridan
1997,1.562764318,43312294,67686907.61,The Edge,Anthony Hopkins,Lee Tamahori
2011,1.124115573,43165571,48523090.58,Beastly,Alex Pettyfer,Daniel Barnz
1997,1.562764318,43101594,67357633.17,Boogie Nights,Don Cheadle,Paul Thomas Anderson
2002,1.384334996,43061982,59612208.69,Reign of Fire,Christian Bale,Rob Bowman
2013,1.067622291,43058898,45970639.34,Homefront,Jason Statham,Gary Fleder
2005,1.29773008,43008075,55812872.62,The Longest Yard,Adam Sandler,Peter Segal
1979,3.757581758,43000000,161576015.6,Escape from Alcatraz,Clint Eastwood,Don Siegel
2015,1.035412488,42972994,44494774.64,Legend,Tom Hardy,Brian Helgeland
2006,1.255146149,42931041,53884730.78,Crank,Jason Statham,Mark Neveldine
2013,1.067622291,42930462,45833518.2,Snitch,Dwayne Johnson,Ric Roman Waugh
2005,1.29773008,42886719,55655385.29,A Lot Like Love,Aimee Garcia,Nigel Cole
2003,1.362721798,42792561,58314355.65,Basic,Connie Nielsen,John McTiernan
2001,1.423458672,42776760,60890949.99,Shaolin Soccer,Wei Zhao,Stephen Chow
2015,1.035412488,42664410,44175262.91,The Gallows,Pfeifer Brown,Travis Cluff
2006,1.255146149,42647449,53528781.37,Glory Road,Mehcad Brooks,James Gartner
2008,1.182197002,42487390,50228465.07,Bangkok Dangerous,Nicolas Cage,Danny Pang
2015,1.035412488,42426912,43929354.51,Love the Coopers,Olivia Wilde,Jessie Nelson
1981,2.974451411,42365581,126014362.2,Time Bandits,Shelley Duvall,Terry Gilliam
2010,1.142551557,42345360,48381756.99,My Name Is Khan,Shah Rukh Khan,Karan Johar
2009,1.138489257,42333295,48196001.59,The Fourth Kind,Milla Jovovich,Olatunde Osunsanmi
2006,1.255146149,42285169,53074067.03,Lady in the Water,Bryce Dallas Howard,M. Night Shyamalan
1996,1.608572132,42277365,68006191.14,Escape from L.A.,Steve Buscemi,John Carpenter
2008,1.182197002,42105111,49776535.99,Zack and Miri Make a Porno,Gerry Bednob,Kevin Smith
2005,1.29773008,42093706,54626268.47,Oliver Twist,Ian McNeice,Roman Polanski
2006,1.255146149,42064105,52796599.4,A Good Year,Archie Panjabi,Ridley Scott
2010,1.142551557,42045846,48039546.8,Going the Distance,Rob Riggle,Nanette Burstein
1993,1.746902839,42000000,73369919.23,Teenage Mutant Ninja Turtles III,Paige Turco,Stuart Gillard
2008,1.182197002,42000000,49652274.08,The Hurt Locker,Jeremy Renner,Kathryn Bigelow
1997,1.562764318,41954997,65565772.29,Donnie Brasco,Johnny Depp,Mike Newell
1991,1.876034824,41895491,78597400.07,The Fisher King,Jeff Bridges,Terry Gilliam
2012,1.089714997,41863726,45619530.05,The Guilt Trip,Miriam Margolyes,Anne Fletcher
1975,4.971159371,41833347,207960235,The Return of the Pink Panther,Burt Kwouk,Blake Edwards
2008,1.182197002,41819064,49438372.08,The Love Guru,Justin Timberlake,Marco Schnabel
2006,1.255146149,41744718,52395722.04,Casino Royale,Eva Green,Martin Campbell
2008,1.182197002,41627431,49211824.12,Never Back Down,Djimon Hounsou,Jeff Wadlow
1998,1.527066244,41610884,63542576.36,Ronin,Robert De Niro,John Frankenheimer
2002,1.384334996,41604473,57594527.97,Undercover Brother,Dave Chappelle,Malcolm D. Lee
2002,1.384334996,41597830,57585331.84,The Hours,Meryl Streep,Stephen Daldry
2009,1.138489257,41596251,47356884.91,Orphan,Jimmy Bennett,Jaume Collet-Serra
1996,1.608572132,41590886,66901940.15,Set It Off,Vivica A. Fox,F. Gary Gray
2004,1.332473386,41512007,55313644.54,Wimbledon,Kirsten Dunst,Richard Loncraine
1990,1.977302366,41482207,82022866.06,Gremlins 2: The New Batch,Christopher Lee,Joe Dante
2006,1.255146149,41480851,52064530.39,Gridiron Gang,Dwayne Johnson,Phil Joanou
2010,1.142551557,41424067,47329132.24,Of Gods and Men,Lambert Wilson,Xavier Beauvois
1985,2.35956602,41410568,97710969.11,Pale Rider,Clint Eastwood,Clint Eastwood
2002,1.384334996,41400000,57311468.85,Whale Rider,Keisha Castle-Hughes,Niki Caro
1986,2.278768981,41382841,94301934.4,Peggy Sue Got Married,Nicolas Cage,Francis Ford Coppola
2008,1.182197002,41299492,48824135.62,Leatherheads,Robert Baker,George Clooney
2014,1.052209187,41296320,43452367.31,This Is Where I Leave You,Tina Fey,Shawn Levy
2006,1.255146149,41237648,51759275.08,Man of the Year,Robin Williams,Barry Levinson
2002,1.384334996,41227069,57072074.41,A Walk to Remember,Lauren German,Adam Shankman
1996,1.608572132,41205099,66281373.94,Happy Gilmore,Adam Sandler,Dennis Dugan
2007,1.21592121,41170784,50060429.51,Freedom Writers,Hunter Parrish,Richard LaGravenese
1971,6.313447091,41158757,259853634.7,The French Connection,Roy Scheider,William Friedkin
2010,1.142551557,41092328,46950103.33,Clash of the Titans,Liam Neeson,Louis Leterrier
2012,1.089714997,41037742,44719442.9,Dredd,Wood Harris,Pete Travis
2008,1.182197002,40855419,48299153.85,Quarantine,Andrew Fiscella,John Erick Dowdle
1999,1.503724247,40846082,61421243.91,House on Haunted Hill,Jeffrey Combs,William Malone
2009,1.138489257,40828540,46482854.18,Gamer,Gerard Butler,Mark Neveldine
2011,1.124115573,40547440,45580008.75,30 Minutes or Less,Bianca Kajlich,Ruben Fleischer
2011,1.124115573,40492759,45518540.99,The Roommate,Leighton Meester,Christian E. Christiansen
1989,2.072746811,40485039,83915235.5,Bill & Ted's Excellent Adventure,Keanu Reeves,Stephen Herek
2007,1.21592121,40452643,49187226.64,War,Jason Statham,Philip G. Atwell
2015,1.035412488,40423945,41855457.47,The Witch,Julian Richings,Robert Eggers
1981,2.974451411,40382659,120116257,Reds,Paul Sorvino,Warren Beatty
2012,1.089714997,40346186,43965843.96,Safe,Jason Statham,Boaz Yakin
1998,1.527066244,40283321,61515299.71,The Faculty,Jordana Brewster,Robert Rodriguez
1999,1.503724247,40263020,60544479.44,Blast from the Past,Brendan Fraser,Hugh Wilson
2001,1.423458672,40222729,57255392.41,Hardball,Keanu Reeves,Brian Robbins
2004,1.332473386,40203020,53569454.2,Bridget Jones: The Edge of Reason,Colin Firth,Beeban Kidron
2009,1.138489257,40105542,45659728.73,All About Steve,Bradley Cooper,Phil Traill
2016,1.034185663,40055439,41424760.75,The Forest,Eoin Macken,Jason Zada
2000,1.47152684,40031879,58907984.4,Dancer in the Dark,Catherine Deneuve,Lars von Trier
1998,1.527066244,40002112,61085874.94,I Still Know What You Did Last Summer,Muse Watson,Danny Cannon
1970,6.682042253,40000000,267281690.1,Beyond the Valley of the Dolls,Charles Napier,Russ Meyer
1980,3.37746584,39846344,134579665.7,Caddyshack,Bill Murray,Harold Ramis
2000,1.47152684,39723096,58453601.92,Memento,Callum Rennie,Christopher Nolan
1997,1.562764318,39673162,61999801.97,Jackie Brown,Robert De Niro,Quentin Tarantino
1993,1.746902839,39514713,69028364.32,Hocus Pocus,Vinessa Shaw,Kenny Ortega
2009,1.138489257,39462438,44927561.73,Crazy Heart,Jeff Bridges,Scott Cooper
2000,1.47152684,39459427,58065605.91,The Legend of Bagger Vance,Matt Damon,Robert Redford
2001,1.423458672,39438674,56139322.52,Crocodile Dundee in Los Angeles,Jere Burns,Simon Wincer
2009,1.138489257,39421467,44880916.69,Halloween II,Scout Taylor-Compton,Rob Zombie
2014,1.052209187,39407616,41465055.61,Sin City: A Dame to Kill For,Joseph Gordon-Levitt,Frank Miller
1995,1.653699331,39363635,65095616.87,Dead Man Walking,Lois Smith,Tim Robbins
2010,1.142551557,39340177,44948180.48,Furry Vengeance,Brendan Fraser,Roger Kumble
2010,1.142551557,39300000,44902276.18,Alpha and Omega,Kevin Sussman,Anthony Bell
2003,1.362721798,39267515,53510698.63,Dumb and Dumberer: When Harry Met Lloyd,Elden Henson,Troy Miller
2011,1.124115573,39187783,44051597.14,50/50,Joseph Gordon-Levitt,Jonathan Levine
2014,1.052209187,39171130,41216222.86,The Gambler,George Kennedy,Rupert Wyatt
2006,1.255146149,39143839,49131238.78,The Grudge 2,Sarah Michelle Gellar,Takashi Shimizu
2005,1.29773008,39053061,50680331.99,The Sisterhood of the Traveling Pants,Mike Vogel,Ken Kwapis
2009,1.138489257,39041505,44448334.03,Agora,Max Minghella,Alejandro Amenábar
2008,1.182197002,39031337,46142729.58,The Spirit,Scarlett Johansson,Frank Miller
2011,1.124115573,38992758,43832366.5,Mars Needs Moms,Elisabeth Harnois,Simon Wells
2003,1.362721798,38955598,53085642.53,The Life of David Gale,Kevin Spacey,Alan Parker
2005,1.29773008,38869464,50442072.64,Serenity,Adam Baldwin,Joss Whedon
2002,1.384334996,38793283,53702899.28,Clockstoppers,Michael Biehn,Jonathan Frakes
1986,2.278768981,38748395,88298640.57,Little Shop of Horrors,Bill Murray,Frank Oz
2014,1.052209187,38697217,40717567.25,Nightcrawler,Jake Gyllenhaal,Dan Gilroy
2006,1.255146149,38629478,48485640.55,Basic Instinct 2,Charlotte Rampling,Michael Caton-Jones
2000,1.47152684,38574362,56763209.01,Urban Legends: Final Cut,Loretta Devine,John Ottman
2004,1.332473386,38535221,51347156.41,The Sea Inside,Belén Rueda,Alejandro Amenábar
2011,1.124115573,38502340,43281079.99,Dream House,Naomi Watts,Jim Sheridan
1988,2.15726806,38413606,82868445.3,Midnight Run,Robert De Niro,Martin Brest
2006,1.255146149,38399961,48197563.17,Last Holiday,LL Cool J,Wayne Wang
1984,2.461039993,38376497,94446093.92,Red Dawn,Lea Thompson,John Milius
2006,1.255146149,38368909,48158588.37,Employee of the Month,Dane Cook,Greg Coolidge
2014,1.052209187,38307627,40307637.07,Million Dollar Arm,Jon Hamm,Craig Gillespie
1977,4.307270464,38251425,164759233.1,Annie Hall,Woody Allen,Woody Allen
2006,1.255146149,38159905,47896257.81,Just My Luck,Samaire Armstrong,Donald Petrie
1987,2.236322512,38122105,85253321.62,The Running Man,Yaphet Kotto,Paul Michael Glaser
1987,2.236322512,38119483,85247457.98,Spaceballs,Joan Rivers,Mel Brooks
2008,1.182197002,38105395,45048083.72,The Secret Life of Bees,Nate Parker,Gina Prince-Bythewood
2006,1.255146149,38085778,47803217.59,Happily N'Ever After,Sarah Michelle Gellar,Paul Bolger
2005,1.29773008,38058335,49389446.14,The Producers,Jon Lovitz,Susan Stroman
2004,1.332473386,38000000,50633988.68,Hotel Rwanda,Don Cheadle,Terry George
1986,2.278768981,37962774,86508391.81,Howard the Duck,Lea Thompson,Willard Huyck
2012,1.089714997,37930465,41333396.55,Killing Them Softly,Brad Pitt,Andrew Dominik
1979,3.757581758,37823676,142125554.9,All That Jazz,Roy Scheider,Bob Fosse
1979,3.757581758,37799643,142035249,The Black Stallion,Teri Garr,Carroll Ballard
2011,1.124115573,37710610,42391083.97,Jumping the Broom,Gary Dourdan,Salim Akil
1998,1.527066244,37672350,57528174.03,How Stella Got Her Groove Back,Richard Lawson,Kevin Rodney Sullivan
2002,1.384334996,37664855,52140776.91,Halloween: Resurrection,Jamie Lee Curtis,Rick Rosenthal
1963,8.103126721,37600000,304677564.7,Tom Jones,Albert Finney,Tony Richardson
2006,1.255146149,37597471,47190320.94,The Covenant,Laura Ramsey,Renny Harlin
1968,7.348076442,37402877,274839199.4,Oliver!,Oliver Reed,Carol Reed
2001,1.423458672,37317558,53120001.56,The Majestic,Martin Landau,Frank Darabont
2007,1.21592121,37311672,45368053.38,Becoming Jane,Anne Hathaway,Julian Jarrold
1989,2.072746811,37295445,77304014.7,Do the Right Thing,Ruby Dee,Spike Lee
1992,1.799813376,37170057,66899165.77,Raising Cain,Steven Bauer,Brian De Palma
1960,8.408905088,37141130,312316237,Psycho,Janet Leigh,Alfred Hitchcock
2000,1.47152684,37036004,54499473.92,Keeping the Faith,Lisa Edelstein,Edward Norton
2010,1.142551557,37000000,42274407.6,For Colored Girls,Omari Hardwick,Tyler Perry
2010,1.142551557,36993168,42266601.69,Don't Be Afraid of the Dark,Bailee Madison,Troy Nixey
2012,1.089714997,36893721,40203641.07,One for the Money,Fisher Stevens,Julie Anne Robinson
2015,1.035412488,36869414,38175051.68,Ex Machina,Elina Alminas,Alex Garland
1999,1.503724247,36850101,55412390.39,My Favorite Martian,Steven Anthony Lawrence,Donald Petrie
1994,1.696818575,36800000,62442923.57,Highlander: The Final Dimension,Christopher Lambert,Andrew Morahan
2000,1.47152684,36754634,54085430.42,Titan A.E.,Matt Damon,Don Bluth
1993,1.746902839,36733909,64170569.91,Alive,Illeana Douglas,Frank Marshall
1982,2.695843644,36690067,98910683.92,Friday the 13th Part III,Richard Brooker,Steve Miner
2001,1.423458672,36642838,52159565.52,Joy Ride,Paul Walker,John Dahl
2008,1.182197002,36620508,43292654.76,My Best Friend's Girl,Dane Cook,Howard Deutch
2000,1.47152684,36609995,53872590.25,Return to Me,Minnie Driver,Bonnie Hunt
2015,1.035412488,36606743,37903078.85,Burnt,Bradley Cooper,John Wells
1999,1.503724247,36450736,54811855.55,Baby Geniuses,Kathleen Turner,Bob Clark
2014,1.052209187,36433975,38336163.23,Devil's Due,Zach Gilford,Matt Bettinelli-Olpin
2005,1.29773008,36351350,47174240.36,Beauty Shop,Alfre Woodard,Bille Woodruff
1985,2.35956602,36230219,85487593.64,Mad Max Beyond Thunderdome,Tina Turner,George Miller
2011,1.124115573,36160375,40648440.66,Larry Crowne,Tom Hanks,Tom Hanks
2009,1.138489257,36133014,41137048.28,Love Happens,Judy Greer,Brandon Camp
2004,1.332473386,36098382,48100133.3,Jersey Girl,Stephen Root,Kevin Smith
2000,1.47152684,36037909,53030750.34,Hanging Up,Adam Arkin,Diane Keaton
2014,1.052209187,35926213,37801891.38,The Best of Me,Luke Bracey,Michael Hoffman
1979,3.757581758,35841901,134678873.4,The Black Hole,Robert Forster,Gary Nelson
1990,1.977302366,35763605,70715460.79,Child's Play 2,Jenny Agutter,John Lafia
2001,1.423458672,35743308,50879121.74,Riding in Cars with Boys,Rosie Perez,Penny Marshall
2010,1.142551557,35692920,40781001.31,127 Hours,James Franco,Danny Boyle
2007,1.21592121,35619521,43310531.09,Hostel: Part II,Jay Hernandez,Eli Roth
2002,1.384334996,35564473,49233144.6,Bowling for Columbine,Michael Moore,Michael Moore
2012,1.089714997,35485608,38669199.22,The Place Beyond the Pines,Ryan Gosling,Derek Cianfrance
2012,1.089714997,35485056,38668597.69,Arbitrage,Nate Parker,Nicholas Jarecki
1995,1.653699331,35431113,58592407.86,Money Train,Vincent Pastore,Joseph Ruben
2009,1.138489257,35424826,40330783.85,The Informant!,Matt Damon,Steven Soderbergh
2001,1.423458672,35402320,50393739.42,Original Sin,Angelina Jolie Pitt,Michael Cristofer
2015,1.035412488,35401758,36655422.33,Room,Joan Allen,Lenny Abrahamson
