year,cumulative,revenue,rev_infl,title,lead_actor,director_name
2016,1.034185663,356743061,368938559.1,The Legend of Tarzan,Christoph Waltz,David Yates
2009,1.138489257,356613439,406000569.3,Angels & Demons,Tom Hanks,Ron Howard
1999,1.503724247,356296601,535771838.1,American Beauty,Kevin Spacey,Sam Mendes
2012,1.089714997,355692760,387603734.9,Journey 2: The Mysterious Island,Josh Hutcherson,Brad Peyton
1995,1.653699331,355237933,587456732.1,Apollo 13,Tom Hanks,Ron Howard
2000,1.47152684,354248063,521285532.6,Dinosaur,Alfre Woodard,Eric Leighton
2011,1.124115573,353624124,397514384.8,X-Men: First Class,Jennifer Lawrence,Matthew Vaughn
1995,1.653699331,352194034,582423038.4,GoldenEye,Izabella Scorupco,Martin Campbell
2002,1.384334996,352114312,487444164.8,Catch Me If You Can,Leonardo DiCaprio,Steven Spielberg
1994,1.696818575,351583407,596573255.7,The Mask,Peter Greene,Chuck Russell
2013,1.067622291,351040419,374778576.4,The Great Gatsby,Leonardo DiCaprio,Baz Luhrmann
1994,1.696818575,350448145,594646922.1,Speed,Keanu Reeves,Jan de Bont
2016,1.034185663,349779543,361736988.7,The Angry Birds Movie,Peter Dinklage,Clay Kaytis
2014,1.052209187,349424282,367667439.8,Night at the Museum: Secret of the Tomb,Robin Williams,Shawn Levy
2014,1.052209187,348319861,366505357.9,The Maze Runner,Ki Hong Lee,Wes Ball
2004,1.332473386,347451894,462970401.7,National Treasure,Nicolas Cage,Jon Turteltaub
2013,1.067622291,347434178,370928473.1,The Smurfs 2,Jacob Tremblay,Raja Gosnell
2001,1.423458672,347325802,494403924.9,Rush Hour 2,Mei Melançon,Brett Ratner
1995,1.653699331,346079773,572311889.1,Pocahontas,Christian Bale,Mike Gabriel
2000,1.47152684,345141403,507884838,How the Grinch Stole Christmas,Clint Howard,Ron Howard
2016,1.034185663,343471816,355213627.8,Star Trek Beyond,Sofia Boutella,Justin Lin
2006,1.255146149,343397247,431013732.1,Over the Hedge,Bruce Willis,Tim Johnson
2011,1.124115573,342695435,385229275.3,Alvin and the Chipmunks: Chipwrecked,Amy Poehler,Mike Mitchell
1994,1.696818575,341631208,579686179.6,The Flintstones,Jonathan Winters,Brian Levant
2007,1.21592121,340487652,414006157.9,Enchanted,Jeff Bennett,Kevin Lima
2014,1.052209187,337580051,355204831.1,300: Rise of an Empire,Eva Green,Noam Murro
1995,1.653699331,336529144,556518020.3,Batman Forever,Michael Gough,Joel Schumacher
2010,1.142551557,335154643,382931459.1,Prince of Persia: The Sands of Time,Jake Gyllenhaal,Mike Newell
1996,1.608572132,335062621,538972394.5,The Rock,Nicolas Cage,Michael Bay
2016,1.034185663,334901337,346350161.3,Now You See Me 2,Daniel Radcliffe,Jon M. Chu
2011,1.124115573,334615000,376145932.5,Sherlock Holmes: A Game of Shadows,Robert Downey Jr.,Guy Ritchie
2008,1.182197002,333932083,394773507.3,The Curious Case of Benjamin Button,Brad Pitt,David Fincher
1997,1.562764318,333011068,520417814.7,Tomorrow Never Dies,Vincent Schiavelli,Roger Spottiswoode
1984,2.461039993,333000000,819526317.8,Indiana Jones and the Temple of Doom,Harrison Ford,Steven Spielberg
1989,2.072746811,332000000,688151941.4,Back to the Future Part II,Lea Thompson,Robert Zemeckis
2015,1.035412488,331926147,343680477.7,The Good Dinosaur,A.J. Buckley,Peter Sohn
2015,1.035412488,330579719,342286369.3,Fantastic Four,Tim Blake Nelson,Josh Trank
2000,1.47152684,330444045,486257281.3,Meet the Parents,Robert De Niro,Jay Roach
1986,2.278768981,328203506,747899968.8,Crocodile Dundee,Paul Hogan,Peter Faiman
2010,1.142551557,327803731,374532663.2,Black Swan,Natalie Portman,Darren Aronofsky
